MODEL EVALUATION SUMMARY
================================================================================

Model                               Accuracy     Precision    Recall       F1-Score    
-----------------------------------------------------------------------------------
Custom Naive Bayes                  0.7910       0.7975       0.7910       0.7918      
Scikit-learn Naive Bayes            0.7910       0.7975       0.7910       0.7918      
Custom Decision Tree                0.5820       0.5829       0.5820       0.5819      
Scikit-learn Decision Tree          0.5810       0.5849       0.5810       0.5818      
MLP Base                            0.8210       0.8236       0.8210       0.8209      
MLP Deep                            0.8120       0.8163       0.8120       0.8127      
MLP Wide                            0.8130       0.8176       0.8130       0.8142      
MLP Narrow                          0.8090       0.8120       0.8090       0.8089      
VGG11 Base                          0.6510       0.6501       0.6510       0.6495      
VGG11 Shallow                       0.6820       0.6929       0.6820       0.6834      
VGG11 Large Kernel                  0.6240       0.6325       0.6240       0.6249      
